"","score","text"
"1",1,"have nice day"
"2",0,"dear newsflash your aint got nuttin"
"3",0,"anyone thinking downtown sunday afternoon"
"4",1,"shopping woman alway fun"
"5",0,"finally found millennial pink tumbler"
"6",1,"that moment juggling carry ons backpack rambunctious toddler hot chocolate spills"
"7",0,"wow this middle cake pop crisco vegetable shortening disgusting unsaf"
"8",-1,"girl struggles"
"9",2,"good know popular ranked caffeine via"
"10",1,"love cooking steaks style egg bites"
"11",1,"totally love gingerbread latte seriously underrate"
"12",0,""
"13",0,"basic girl had repost"
"14",0,"check indiana hardwood tumbler plus ornament"
"15",0,"stop"
"16",0,"everywhere else"
"17",0,"drawing"
"18",0,"stanleys visit"
"19",0,"stanleys visit"
"20",0,"finishing hike deserved canada"
"21",1,"worked hour yearly"
"22",0,"today moment zen warming comes audio track store velvet undergro"
"23",0,"logo meaning revelations this"
"24",0,"tis season"
"25",1,"seasons day happy holidays"
"26",2,"whoa designs seriously incredible"
"27",0,"afternoon"
"28",0,"acknowledging embracing gay people regular people considered political"
"29",0,"dinner champaigns ceaser salad dressing bread"
"30",0,"sometimes feels buy spill"
"31",-1,"look disgusting hypocrite roy moore cool represent women little girls"
"32",0,"tis season treats"
"33",-2,"why idiots complaining christmas beyond even women holding hands"
"34",2,"christmas tree pretty cute tbf"
"35",2,"christmas tree pretty cute tbf"
"36",0,"pumpkin spice latte mommy"
"37",2,"christmas tree pretty cute tbf"
"38",0,"the rule"
"39",0,"the daily thanks"
"40",0,"report barefoot ros pour"
"41",0,"the daily thanks"
"42",0,""
"43",1,"well call daisys day out walk park and spa treatment"
"44",-1,"breaks drink record jdhxdqwq"
"45",0,"looking complete set"
"46",1,"elf musical fuelled acting handy props haha"
"47",0,"wow staff mckinney olive dallas lady broken hip sit"
"48",0,"night favourite mug"
"49",1,"success new vlog"
"50",1,"success new vlog"
"51",1,"success new vlog"
"52",1,"love passed certification exam"
"53",1,"looking perfect gift"
"54",0,"always"
"55",-1,"working hard finish med snowy days help productivity"
"56",0,"the daily thanks"
"57",0,"christmas air"
"58",1,"success new vlog"
"59",1,"first pic iphonex first tweet absolutely awe"
"60",0,"after church treat"
"61",-1,"disappointed been looking forward getting spice flat white week finally"
"62",1,"jolly"
"63",1,"nice sunday walk"
"64",0,"first gingerbread latte season"
"65",-1,"pretend straight americano try cuppuccono instead"
"66",0,"love themed fuck colonialism capitalism paternalism white savi"
"67",0,"lol playing xmas music feels summer"
"68",0,""
"69",1,"hot chocolate watch santa claus parade"
"70",0,"cbb count"
"71",0,"sous vide instant pot egg bites with ham broccoli shrinking momster"
"72",0,"hello friend"
"73",0,"tis season"
"74",0,"the"
"75",1,"microwave dishwasher safe"
"76",-2,"conservatives upset this provocative"
"77",1,"give good"
"78",0,"this happens drive hours straight"
"79",1,"yup procrastinating promise"
"80",0,"nom sriracha cream cheese steak and eggs wrap delish"
"81",2,"overheard kid ive seen original trilogy win emmy award probably"
"82",1,"yassssss happy sunday"
"83",0,"have seen halloween mugs"
"84",0,"first season and spelled name"
"85",1,"looking perfect gift"
"86",0,"sunday"
"87",1,"looking perfect gift"
"88",0,""
"89",0,"heard stirring outrage support lgbt folk appar"
"90",1,"top day bringewood hitting corners day"
"91",1,"rep team beautiful sunday"
"92",1,"feel free write tell sit read emails alerts"
"93",-2,"conservatives arms bet regret killing"
"94",0,"always smell delicious"
"95",0,"jeez holidays unless called bitching"
"96",0,"the drink else teabags"
"97",0,"santa claus coming town folks resist"
"98",0,"tea cup original"
"99",-1,"when sunday decision feels impossible treat self"
"100",1,"love penticton nitrogen infused reminds guinness"
"101",-1,"cold wind"
"102",-1,"morning grind"
"103",0,"hearts heart time paying debit not care stars"
"104",0,"that time husbands name bra"
"105",0,"toffeenut frappe cream based shots caramel perfecto"
"106",-1,"ill guy sits hours sipping slow looking"
"107",0,"complete trip tribute local"
"108",0,"look stare unescaping light black hole tea"
"109",0,"please milk"
"110",0,"grab morning catch its entertainment"
"111",-2,"seriously shut fuck conspiratorial agenda learn"
"112",2,"girl nitro happy this gonna awesome sunday view"
"113",-2,"every secret sorrows world times call cold sad"
"114",0,"latte dishwasher"
"115",0,"candace kim"
"116",0,"they reunited"
"117",-1,"christmas happen miss nero"
"118",0,"the toffee nut latte time"
"119",-1,"disappoints via ifttt"
"120",1,"looking perfect gift"
"121",0,"breakfast roastery reserve roastery tasting room"
"122",-3,"dumb time people complained holiday dumb time"
"123",0,""
"124",0,"christmas blend not pike lady try"
"125",0,"those delights via ifttt"
"126",0,"dear conservatives just imagine hands roy moore girl date"
"127",0,"bin red reindeer mug"
"128",0,"breakfast"
"129",0,"today"
"130",2,"penske great holiday win"
"131",0,"chai latte christmas"
"132",-1,"drinking latte cold windy sunday morning"
